,title,price,link
0,MSI Core i9 12th Gen - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 3080 Ti/120 H...,"₹3,90,990",/msi-core-i9-12th-gen-32-gb-2-tb-ssd-windows-11-home-16-gb-graphics-nvidia-geforce-rtx-3080-ti-120-hz-raider-ge77hx-12uhs-205in-gaming-laptop/p/itm9e5ce41e06c01?pid=COMGGZ23UYB7ZZUU&lid=LSTCOMGGZ23UYB7ZZUU0IYJO2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_QDjUH6Qv5EjILTjK%2FvfkX9OzXxNgiDBAqz2BbWXyu6XDAOKx86yeeMWsmCj%2BvtEWwE0G%2FPy5QVYZ9zUNam8UVg%3D%3D&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
1,Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI...,"₹59,990",/lenovo-ideapad-gaming-3-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-120-hz-15ach6-15ach6d1-gaming3-15ach6d1-laptop/p/itmeb72bf79e6eb4?pid=COMG8ZHDWJXZRHBW&lid=LSTCOMG8ZHDWJXZRHBWRJPFSD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_QDjUH6Qv5EjILTjK%2FvfkX9OzXxNgiDBAqz2BbWXyu6XDs%2B2IAWFFcPyRqIpwrtZoTkMYE553525eIjqAPPPn1A%3D%3D&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
2,ASUS Vivobook 15 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515JA-EJ312WS Thin and Light La...,"₹27,990",/asus-vivobook-15-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-x515ja-ej312ws-thin-light-laptop/p/itm28e74f58362d8?pid=COMGFW4JEUBRKZGQ&lid=LSTCOMGFW4JEUBRKZGQAISZQX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=df30c800-33fc-4403-8124-b1e741a3f47c.COMGFW4JEUBRKZGQ.SEARCH&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
3,MSI Modern 14 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 B5M-242IN Thin and...,"₹39,990",/msi-modern-14-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-b5m-242in-thin-light-laptop/p/itm2dadd2a6b6e61?pid=COMGGHMQUHQ6TYBC&lid=LSTCOMGGHMQUHQ6TYBCBBV3KJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=df30c800-33fc-4403-8124-b1e741a3f47c.COMGGHMQUHQ6TYBC.SEARCH&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
4,ASUS VivoBook 14 (2022) Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) M415DA-EB712WS Thi...,"₹35,990",/asus-vivobook-14-2022-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-11-home-m415da-eb712ws-thin-light-laptop/p/itm291ea229a80a6?pid=COMGCG2GZKRCJUBZ&lid=LSTCOMGCG2GZKRCJUBZ1XPKVP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=df30c800-33fc-4403-8124-b1e741a3f47c.COMGCG2GZKRCJUBZ.SEARCH&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
5,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,"₹48,990",/lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=df30c800-33fc-4403-8124-b1e741a3f47c.COMG9VHHF6HVJPP9.SEARCH&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
6,acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,"₹49,990",/acer-aspire-7-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-a715-42g-a715-42g-r2ne-gaming-laptop/p/itmf26ac2ffc71a8?pid=COMGYCG8ZBXWPYUU&lid=LSTCOMGYCG8ZBXWPYUUSTSMVQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=df30c800-33fc-4403-8124-b1e741a3f47c.COMGYCG8ZBXWPYUU.SEARCH&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
7,MSI Modern 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-639IN Notebook,"₹41,990",/msi-modern-14-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-b10mw-639in-notebook/p/itm9771296f748c4?pid=COMG483F5X8GDQSP&lid=LSTCOMG483F5X8GDQSPM5QHSD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=en_QDjUH6Qv5EjILTjK%2FvfkX9OzXxNgiDBAqz2BbWXyu6XSs7cxmP1QeZZWh5FfC0RLA1dVl7jiTUaJoZr9J%2B2Zlw%3D%3D&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
8,realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,"₹32,999",/realme-book-slim-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-rmnb1001-thin-light-laptop/p/itm63278eae4e867?pid=COMG5YDPE6KHFFK6&lid=LSTCOMG5YDPE6KHFFK6TDC2UE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=df30c800-33fc-4403-8124-b1e741a3f47c.COMG5YDPE6KHFFK6.SEARCH&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
9,HP Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Laptop,"₹58,499",/hp-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-14s-dy5005tu-thin-light-laptop/p/itm9372d97b214bd?pid=COMGG3S93DSUQPMU&lid=LSTCOMGG3S93DSUQPMUWKX9QS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=df30c800-33fc-4403-8124-b1e741a3f47c.COMGG3S93DSUQPMU.SEARCH&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
10,RedmiBook 15 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop,"₹29,990",/redmibook-15-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-thin-light-laptop/p/itm302328cdf5e24?pid=COMG4Z35GKZTRDSF&lid=LSTCOMG4Z35GKZTRDSFFNBHAW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=df30c800-33fc-4403-8124-b1e741a3f47c.COMG4Z35GKZTRDSF.SEARCH&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
11,MSI Bravo 15 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 55...,"₹49,990",/msi-bravo-15-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-5500m-144-hz-b5dd-410in-gaming-laptop/p/itm12cedc4da03bc?pid=COMGGHMQVWN6JJGC&lid=LSTCOMGGHMQVWN6JJGCTAUNJV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_QDjUH6Qv5EjILTjK%2FvfkX9OzXxNgiDBAqz2BbWXyu6VHdpLI1AoKsUv6tVb4f5K9eEizpjmTTRqy%2BFMA7M8ucg%3D%3D&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
12,ASUS ROG Strix G15 Ryzen 7 Octa Core 4800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,"₹95,990",/asus-rog-strix-g15-ryzen-7-octa-core-4800h-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-ti-144-hz-g513ie-hn040ws-gaming-laptop/p/itm13c7975bead0a?pid=COMGE73KYN76YZC7&lid=LSTCOMGE73KYN76YZC71JHKIS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=df30c800-33fc-4403-8124-b1e741a3f47c.COMGE73KYN76YZC7.SEARCH&ppt=None&ppn=None&ssid=eoai2st0ao0000001663390440797&qH=c06ea84a1e3dc3c6
